Protein,Betweenness
AC147602.5_FGP004,0.0
GRMZM2G424053_P02,85567.31314112958
AC149810.2_FGP003,53488.51776485794
AC193500.3_FGP003,3771.758455080624
AC202707.3_FGP002,568.5478307055904
AC203754.4_FGP008,40682.831521152984
AC210050.3_FGP006,334577.4928880967
AC214350.3_FGP007,5299.359567453809
AC215635.3_FGP004,7925.573284121936
AC215639.3_FGP002,2180.340901676559
AC215690.3_FGP002,3048.349379237835
AC225193.3_FGP004,205839.04773334687
GRMZM2G000531_P03,14974.183092971005
GRMZM2G001898_P01,3263.151588675245
GRMZM2G002656_P01,140249.3877243513
GRMZM2G003814_P01,16093.980731040438
GRMZM2G004382_P01,786.3387768589523
GRMZM2G005633_P02,112335.57104643736
GRMZM2G006119_P01,10058.765213207915
GRMZM2G006144_P01,4252.848838547659
GRMZM2G008792_P01,1343.5768398084685
GRMZM2G009265_P02,6078.038159650332
GRMZM2G009655_P01,272.95309983583
GRMZM2G011858_P01,18897.67868076783
GRMZM2G013042_P01,1960.2217235226165
GRMZM2G013214_P01,3576.633739423969
GRMZM2G013448_P04,4603.881295694191
GRMZM2G014709_P01,13.887765546462392
GRMZM2G014805_P01,288.3157888882096
GRMZM2G014917_P01,17622.458709012255
GRMZM2G015289_P02,470.14496055073494
GRMZM2G016189_P01,3242.3366793000573
GRMZM2G016323_P01,18484.22127185698
GRMZM2G016819_P01,4.509870426474765
GRMZM2G017086_P03,29924.487968006717
GRMZM2G018251_P02,10212.672721930468
GRMZM2G018508_P01,1597.7660353885944
GRMZM2G019515_P01,20834.281702398457
GRMZM2G019863_P01,7237.378525438223
GRMZM2G020631_P01,1093.6456536499452
GRMZM2G023239_P01,3865.4990164755654
GRMZM2G025867_P01,2651.4904590700176
GRMZM2G026758_P01,9615.805805652026
GRMZM2G026793_P01,2895.920557112186
GRMZM2G027311_P01,5303.592004314332
GRMZM2G027673_P01,2256.3891846426422
GRMZM2G027991_P01,4.509870426474765
GRMZM2G028004_P05,2786.630643533359
GRMZM2G028733_P02,4002.789541124658
GRMZM2G032222_P01,4403.1286413440475
GRMZM2G034069_P01,14089.59441301861
GRMZM2G035741_P02,4511.329911108376
GRMZM2G035767_P01,790.2925880059476
GRMZM2G036186_P02,263.4937904027143
GRMZM2G038964_P02,26260.789503627824
GRMZM2G040050_P01,17410.75402330617
GRMZM2G041694_P01,18888.883316379957
GRMZM2G043435_P01,22038.892440514403
GRMZM2G043602_P01,29131.01365212074
GRMZM2G044469_P01,558.8838192496602
GRMZM2G046070_P03,13543.485554200593
GRMZM2G046669_P01,22160.69543553041
GRMZM2G049568_P02,5967.84001764505
GRMZM2G049693_P01,2664.8361755710735
GRMZM2G051355_P03,497.7143347092027
GRMZM2G051619_P01,103863.91471300596
GRMZM2G053958_P01,2146.691089540679
GRMZM2G054224_P01,2229.0485310560853
GRMZM2G056252_P02,671.4753727047381
GRMZM2G057942_P01,40665.45773736873
GRMZM2G058584_P01,45472.45844169129
GRMZM2G058760_P01,15308.641465783745
GRMZM2G059958_P01,13947.78318478863
GRMZM2G060163_P01,34745.91865276375
GRMZM2G060940_P01,2397.8886746035855
GRMZM2G060952_P01,423.9621431521482
GRMZM2G061624_P01,5247.159616812061
GRMZM2G061777_P01,1566.785188294141
GRMZM2G061830_P02,8438.325423105842
GRMZM2G061990_P01,39351.98195110533
GRMZM2G064701_P01,812.1147803929005
GRMZM2G065171_P01,43703.35219699077
GRMZM2G066464_P01,5495.360809655161
GRMZM2G066840_P01,29469.867564926495
GRMZM2G068028_P01,117149.96031604336
GRMZM2G068455_P01,12859.879607726129
GRMZM2G069772_P01,16345.704855581678
GRMZM2G069865_P02,24388.994265732425
GRMZM2G070422_P01,1421.6201643913905
GRMZM2G070444_P02,27000.850208270913
GRMZM2G071441_P01,55.7568596269604
GRMZM2G071987_P01,14465.581883346193
GRMZM2G072573_P02,75760.678837319
GRMZM2G072806_P01,55577.225998294205
GRMZM2G073774_P01,58131.68091368288
GRMZM2G074454_P01,61265.48095272388
GRMZM2G075255_P01,3863.10691675511
GRMZM2G076206_P01,7828.372720852909
GRMZM2G076239_P04,8743.103915218679
GRMZM2G077054_P01,44486.14349709205
GRMZM2G078033_P01,2214.3391749907582
GRMZM2G078373_P01,16443.240160041565
GRMZM2G078798_P03,1713.0554900024517
GRMZM2G079034_P01,29468.102814676455
GRMZM2G079805_P01,56619.45452963956
GRMZM2G079888_P01,46405.04914953407
GRMZM2G082131_P01,45593.73679502279
GRMZM2G084525_P01,4439.081596173676
GRMZM2G085078_P01,65825.59086861482
GRMZM2G086231_P01,6719.011513889802
GRMZM2G087169_P03,22324.385806397044
GRMZM2G089291_P01,12226.17393518947
GRMZM2G089565_P02,7.622289220432762
GRMZM2G090068_P01,729.528231029358
GRMZM2G090087_P02,14395.359551697136
GRMZM2G090338_P01,28206.573353681142
GRMZM2G090747_P01,8195.597752460788
GRMZM2G091069_P01,379.8657650084638
GRMZM2G091151_P01,2254.4753232224775
GRMZM2G091819_P01,2164.8713852892433
GRMZM2G092888_P01,14803.666114303755
GRMZM2G094705_P01,554.0747866949997
GRMZM2G096815_P01,88848.04382690828
GRMZM2G097342_P01,672.4226112808352
GRMZM2G097706_P03,3899.872466385516
GRMZM2G099696_P01,129529.31901146338
GRMZM2G100084_P01,19836.40950277718
GRMZM2G103546_P01,6092.564951755273
GRMZM2G104268_P02,6889.879678045228
GRMZM2G104546_P02,127189.5599555998
GRMZM2G106222_P01,38598.21717293573
GRMZM2G107136_P01,18.173983834882236
GRMZM2G107696_P01,17020.11501434559
GRMZM2G107761_P02,4009.3677180068294
GRMZM2G108076_P01,2969.358454761812
GRMZM2G108338_P01,38988.48712537055
GRMZM2G108739_P01,1009.0640295670827
GRMZM2G110369_P01,4076.5497800237354
GRMZM2G111954_P03,617.8820307377425
GRMZM2G112792_P01,1635.4469175245265
GRMZM2G119261_P01,7727.32841230298
GRMZM2G119361_P01,49243.885428341215
GRMZM2G119482_P01,3329.303907788662
GRMZM2G120076_P01,406.34060270023383
GRMZM2G120740_P03,16047.126319798956
GRMZM2G120943_P01,3133.2222782111585
GRMZM2G122172_P01,1358.724528629535
GRMZM2G122479_P03,16453.11118014036
GRMZM2G125052_P01,1128.8727250867146
GRMZM2G125268_P01,2930.1588842127126
GRMZM2G126038_P01,15935.90942508457
GRMZM2G126199_P01,1569.1614204725167
GRMZM2G127668_P01,10456.356603721944
GRMZM2G128114_P01,2515.379511614979
GRMZM2G128146_P01,15669.553797818444
GRMZM2G130440_P02,2916.8596482822804
GRMZM2G131443_P02,670.9804666035996
GRMZM2G132090_P01,1154.6282879819737
GRMZM2G135277_P01,1041.936058123397
GRMZM2G135341_P01,33041.26328341549
GRMZM2G135526_P01,2034.1827017004541
GRMZM2G136712_P01,143058.88693743755
GRMZM2G137399_P01,152125.39997448164
GRMZM2G141256_P02,134393.30609151613
GRMZM2G141320_P01,98408.01089439944
GRMZM2G141376_P01,3065.6386819759064
GRMZM2G141535_P01,186550.20541869313
GRMZM2G141607_P01,25778.92647709071
GRMZM2G145061_P01,2793.8429102047453
GRMZM2G145226_P01,7009.403603526394
GRMZM2G145595_P01,62693.06930128538
GRMZM2G145816_P02,12.610408076077034
GRMZM2G145854_P01,10083.95100710358
GRMZM2G146097_P01,1327.6353927508806
GRMZM2G146644_P01,1346.2239005056442
GRMZM2G147667_P01,346.62344114401395
GRMZM2G147920_P01,14.028548301270204
GRMZM2G147966_P01,14282.381978780897
GRMZM2G149786_P01,1416.0624142110587
GRMZM2G152958_P01,60086.88777352422
GRMZM2G154146_P01,8697.727379296823
GRMZM2G154595_P01,45867.74064220705
GRMZM2G159570_P01,31601.342436517538
GRMZM2G161245_P01,12327.37240244689
GRMZM2G161868_P01,606.195630703039
GRMZM2G162007_P01,13319.267961255699
GRMZM2G162859_P01,10748.466572961252
GRMZM2G164141_P01,1804.7305490642939
GRMZM2G164418_P01,2819.2863332679417
GRMZM2G164948_P03,59501.56320677661
GRMZM2G166956_P01,2037.3531392866528
GRMZM2G167085_P01,4557.596666404058
GRMZM2G167767_P01,24428.340746324036
GRMZM2G168506_P01,2909.505849258841
GRMZM2G168953_P01,478118.34218492673
GRMZM2G169201_P01,361.90691636304905
GRMZM2G169943_P01,343.3191498848834
GRMZM2G172158_P01,1.0370199450667956
GRMZM2G172451_P01,4.509870426474765
GRMZM2G174137_P01,23388.832381537974
GRMZM2G174766_P01,686.0115862892262
GRMZM2G175343_P01,1783.0819481893595
GRMZM2G175423_P01,18447.75019457159
GRMZM2G176301_P01,5672.938950554335
GRMZM2G176495_P01,41891.309052335535
GRMZM2G176903_P01,933.0210443945399
GRMZM2G178120_P01,1308.858967716372
GRMZM2G179045_P01,7690.613260133405
GRMZM2G180166_P01,7.622289220432762
GRMZM2G180399_P01,2757.507664116866
GRMZM2G300965_P01,27940.689436850098
GRMZM2G308463_P01,29469.867564926495
GRMZM2G317287_P01,3055.7155065691118
GRMZM2G323679_P01,49791.609000008786
GRMZM2G327635_P01,62.918499600367035
GRMZM2G330690_P02,7008.934677961642
GRMZM2G331368_P02,24102.397525034812
GRMZM2G335657_P01,161484.18741902584
GRMZM2G337402_P01,4651.772277130436
GRMZM2G339994_P01,654.7627741575546
GRMZM2G341460_P01,4706.873790665441
GRMZM2G348551_P01,242383.12620163124
GRMZM2G348578_P01,4792.352102850103
GRMZM2G350001_P01,18527.538260165387
GRMZM2G350157_P01,4.443181801090488
GRMZM2G350447_P01,21570.660179047638
GRMZM2G351023_P01,2523.708207580781
GRMZM2G360529_P01,1779.1408938887855
GRMZM2G360873_P01,60527.408745329354
GRMZM2G362726_P01,3651.975287758942
GRMZM2G364901_P04,893.0923673757126
